ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
PRI,Human,MISCELLANY,0-25,Flat,0-500,001S,001E,16,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,014N,002W,12,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,005S,015W,4,Seward,,N,N,Human
BLM,Human,MISCELLANY,0-25,West,0-500,013N,002W,31,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,27,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,001S,001E,3,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0501-1500,001N,002W,35,Fairbanks,,N,N,Human
NCA,Human,RECREATION,0-25,Flat,0-500,007S,006E,9,Kateel River,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,001S,002E,31,Fairbanks,,N,N,Human
MA,Human,INCENDIARY,0-25,West,1501-2500,003S,005E,9,Fairbanks,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,001S,001W,4,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,004N,002W,23,Copper River,,N,N,Human
NCA,Natural,LIGHTNING,0-25,Flat,0501-1500,028S,015E,16,Kateel River,,N,N,Natural
BLM,Human,DEBRIS BNG,0-25,Flat,0501-1500,002N,001E,18,Copper River,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0501-1500,001N,003E,28,Fairbanks,,N,N,Human
USFS,,Recreation,0-25,Flat,0501-1500,003N,003W,12,Seward,,N,N,Human
FWS,Human,RECREATION,0-25,Flat,0-500,007N,008W,10,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,0-500,018N,006W,27,Seward,,N,N,Human
BLM,Human,EQUIPMENT,0-25,Flat,0-500,018N,003W,21,Seward,,N,N,Human
STA,Human,SMOKING,0-25,North East,0501-1500,004S,013W,31,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,002N,012W,12,Seward,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0-500,004S,006W,12,Fairbanks,,N,N,Human
MA,Human,INCENDIARY,0-25,Flat,1501-2500,003S,005E,12,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,0-500,030N,058W,30,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0-500,009S,047W,29,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,010S,049W,34,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,013S,051W,27,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,014S,053W,22,Seward,,N,N,Natural
STA,Human,MISCELLANY,0-25,Flat,0501-1500,004N,001W,32,Copper River,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,001N,001W,36,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,0-500,004N,005W,33,Fairbanks,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,006S,004E,36,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,1501-2500,004S,013W,15,Seward,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0501-1500,018N,002W,7,Seward,,N,N,Human
MA,Human,RECREATION,0-25,Flat,0-500,002S,002W,11,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,017N,002E,28,Seward,,N,N,Human
PRI,Human,CHILDREN,0-25,West,0501-1500,014N,001W,6,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,1501-2500,019N,003W,1,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,016N,004W,26,Seward,,N,N,Human
PRI,Human,SMOKING,0-25,Flat,0-500,001S,002E,35,Fairbanks,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0-500,023N,004W,8,Seward,,N,N,Human
PRI,Human,RECREATION,0-25,Flat,0-500,016N,004W,23,Seward,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,11,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,012N,003W,25,Seward,,N,N,Human
PRI,Human,SMOKING,0-25,Flat,0501-1500,012N,003W,26,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,002N,001E,7,Copper River,,N,N,Human
BLM,Human,DEBRIS BNG,0-25,South,1501-2500,010N,001E,10,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,West,1501-2500,011N,002W,5,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0501-1500,009N,014E,33,Fairbanks,,N,N,Natural
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,012N,003W,27,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,012N,003W,12,Seward,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,0501-1500,005S,006E,14,Fairbanks,,N,N,Human
STA,Human,MISCELLANY,0-25,Flat,0501-1500,001N,004E,26,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,017N,003W,22,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,0-500,012N,003W,15,Seward,,N,N,Human
STA,Human,RECREATION,0-25,Flat,0501-1500,002S,003E,4,Fairbanks,,N,N,Human
BLM,Natural,LIGHTNING,0-25,Flat,1501-2500,009N,003W,2,Fairbanks,,N,N,Natural
PRI,Human,CHILDREN,0-25,Flat,0-500,001S,010W,1,Fairbanks,,N,N,Human
BLM,Human,MISCELLANY,26-40,South,2501-3500,011N,002W,20,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,0-500,010N,001W,3,Seward,,N,N,Human
BLM,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,12,Seward,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0-500,002S,002E,11,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,002S,002E,31,Fairbanks,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,012N,003W,27,Seward,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,004S,008W,14,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0501-1500,001N,002E,27,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,South East,0501-1500,005S,014W,22,Seward,,N,N,Human
STA,Human,DEBRIS BNG,0-25,Flat,1501-2500,018N,014E,29,Copper River,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,019N,004W,2,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0-500,018N,002W,26,Seward,,N,N,Human
PRI,Human,CHILDREN,0-25,Flat,0501-1500,001N,001E,19,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,0-500,012N,004W,7,Seward,,N,N,Human
BLM,Human,SMOKING,0-25,South East,1501-2500,019N,012E,27,Copper River,,N,N,Human
PRI,Human,RECREATION,0-25,South West,0501-1500,028N,037W,36,Seward,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,002S,002E,25,Fairbanks,,N,N,Human
PRI,Human,MISCELLANY,0-25,Flat,0501-1500,010S,011E,11,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,001S,001E,21,Fairbanks,,N,N,Human
BLM,Human,DEBRIS BNG,0-25,Flat,0501-1500,012S,024W,5,Fairbanks,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,002N,012W,22,Seward,,N,N,Human
NCA,Human,SMOKING,0-25,South East,0501-1500,004S,008W,12,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,South West,1501-2500,017N,016E,23,Copper River,,N,N,Human
PRI,Human,DEBRIS BNG,0-25,Flat,0-500,012N,003W,12,Seward,,N,N,Human
MA,Human,MISCELLANY,0-25,Flat,0-500,002S,001W,32,Fairbanks,,N,N,Human
BLM,Human,RECREATION,0-25,Flat,2501-3500,002N,010W,7,Copper River,,N,N,Human
BLM,,Recreation, , , ,15N,11E,29,Copper River,,N,N,Human
PRI,,Miscellany, , , ,10N,01W,9,Seward,,N,N,Human
BLM,,Recreation, , , ,15N,13E,12,Copper River,,N,N,Human
BLM,,Miscellany, , , ,05S,35W,36,Seward,,N,N,Human
BLM,,Miscellany, , , ,06S,35W,1,Seward,,N,N,Human
BLM,,Miscellany, , , ,06S,34W,5,Seward,,N,N,Human
BLM,,Equipment, , , ,14S,10E,8,Fairbanks,,N,N,Human
PRI,,Miscellany, , , ,18N,02W,34,Seward,,N,N,Human
BLM,,Miscellany, , , ,20N,11E,36,Fairbanks,,N,N,Human
PRI,,Miscellany, , , ,02S,02E,4,Fairbanks,,N,N,Human
BLM,,Recreation, , , ,23N,08E,6,Fairbanks,,N,N,Human
BLM,,Miscellany, , , ,04S,05E,29,Fairbanks,,N,N,Human
BLM,,RECREATION,0-25,Flat,0501-1500,008S,006W,12,Fairbanks,,N,N,Human
BLM,,Recreation, , , ,20N,06E,8,Fairbanks,,N,N,Human
BLM,,Equipment, , , ,05S,02E,7,Copper River,,N,N,Human
BLM,,Smoking, , , ,04S,07E,7,Copper River,,N,N,Human
PRI,,Miscellany, , , ,01N,02W,21,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,16N,54W,11,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,023N,069W,1,Seward,,N,N,Natural
,,Unknown, , , ,10N,02W,34,Seward,,N,N,Undetermined
BLM,,Recreation, , , ,06S,03E,26,Fairbanks,,N,N,Human
BLM,,Recreation, , , ,17N,15E,29,Copper River,,N,N,Human
BLM,,Railroad, , , ,19S,09W,28,Fairbanks,,N,N,Human
BLM,,Railroad, , , ,17S,07W,21,Fairbanks,,N,N,Human
BLM,,Recreation, , , ,22N,08E,31,Copper River,,N,N,Human
STA,,Recreation, , , ,07S,12W,28,Seward,,N,N,Human
STA,,Miscellany, , , ,03N,01E,1,Fairbanks,,N,N,Human
PRI,,Debris Bng, , , ,12N,03W,24,Seward,,N,N,Human
BLM,,Recreation, , , ,25N,07E,32,Fairbanks,,N,N,Human
,,, , , ,04S,05W,11,Fairbanks,,N,N,Undetermined
PRI,,Miscellany, , , ,01S,01W,18,Fairbanks,,N,N,Human
,,, , , ,17N,02W,17,Seward,,N,N,Undetermined
PRI,,Recreation, , , ,14N,01W,6,Seward,,N,N,Human
PRI,,Miscellany, , , ,22N,04W,17,Seward,,N,N,Human
PRI,,Equipment, , , ,10S,10E,23,Fairbanks,,N,N,Human
BLM,,Recreation, , , ,24N,07E,8,Fairbanks,,N,N,Human
PRI,,Miscellany, , , ,05N,10W,24,Seward,,N,N,Human
PRI,,Recreation, , , ,06N,01E,18,Copper River,,N,N,Human
BLM,,Equipment, , , ,14N,01W,19,Seward,,N,N,Human
PRI,,Miscellany, , , ,01S,14W,34,Seward,,N,N,Human
BLM,,Railroad, , , ,03S,07W,9,Fairbanks,,N,N,Human
PRI,,Lightning, , , ,01N,02W,28,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,21N,12E,31,Fairbanks,,N,N,Natural
BLM,,Miscellany, , , ,01S,02E,36,Copper River,,N,N,Human
STA,,Recreation, , , ,15N,01W,29,Seward,,N,N,Human
BLM,,Miscellany, , , ,03N,45W,35,Kateel,,N,N,Human
USFS,,Recreation, , , ,05N,04W,35,Seward,,N,N,Human
STA,,Recreation, , , ,10N,01W,9,Seward,,N,N,Human
,,Unknown, , , ,04N,01W,13,Seward,,N,N,Undetermined
BLM,,Debris Bng, , , ,04N,23W,13,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,12N,19E,35,Fairbanks,,N,N,Natural
PRI,,Debris Bng, , , ,17N,01W,19,Seward,,N,N,Human
BLM,,Lightning, , , ,14N,27E,2,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,19N,30E,10,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,01S,32E,35,Fairbanks,,N,N,Natural
USFS,,Debris Burning,0-25,South West,0501-1500,003N,004W,12,Seward,,N,N,Human
BLM,,Lightning, , , ,20N,15E,14,Copper River,,N,N,Natural
BLM,,Recreation, , , ,15N,01W,18,Seward,,N,N,Human
BLM,,Miscellany, , , ,14S,01E,5,Kateel,,N,N,Human
,,, , , ,05N,08W,7,Seward,,N,N,Undetermined
BLM,,Recreation, , , ,15N,60W,5,Seward,,N,N,Human
PRI,,Debris Bng, , , ,04N,02W,25,Copper River,,N,N,Human
PRI,,Children, , , ,12N,03W,15,Seward,,N,N,Human
STA,,Miscellany, , , ,05N,10W,30,Seward,,N,N,Human
BLM,,Miscellany, , , ,12N,03W,24,Seward,,N,N,Human
BLM,,Recreation, , , ,11N,02W,32,Seward,,N,N,Human
PRI,,Children, , , ,12N,03W,28,Seward,,N,N,Human
PRI,,Children, , , ,05N,10W,20,Seward,,N,N,Human
STA,,Debris Bng, , , ,02N,01E,19,Copper River,,N,N,Human
BLM,,Railroad, , , ,24N,04W,6,Seward,,N,N,Human
PRI,,Children, , , ,12N,03W,15,Seward,,N,N,Human
PRI,,Children, , , ,12N,03W,9,Seward,,N,N,Human
STA,,Miscellany, , , ,16N,01W,35,Seward,,N,N,Human
BLM,,Miscellany, , , ,16N,15E,34,Copper River,,N,N,Human
USFS,,Recreation, , , ,04N,04W,4,Seward,,N,N,Human
PRI,,Miscellany, , , ,12N,03W,22,Seward,,N,N,Human
PRI,,Recreation, , , ,12N,04W,12,Seward,,N,N,Human
FWS,,Recreation, , , ,05N,04W,30,Seward,,N,N,Human
BLM,,Recreation, , , ,11N,02W,19,Seward,,N,N,Human
USFS,,Recreation, , , ,05N,05W,35,Seward,,N,N,Human
,,Unknown, , , ,04N,03W,1,Seward,,N,N,Undetermined
,,Unknown, , , ,04N,01W,24,Seward,,N,N,Undetermined
BLM,,Smoking, , , ,16N,15E,24,Copper River,,N,N,Human
PRI,,Miscellany, , , ,03N,01W,9,Copper River,,N,N,Human
PRI,,Miscellany, , , ,33N,33W,17,Seward,,N,N,Human
BLM,,Lightning, , , ,21N,22W,33,Fairbanks,,N,N,Natural
STA,,Miscellany, , , ,19N,03E,17,Seward,,N,N,Human
BLM,,Recreation, , , ,14N,01W,29,Seward,,N,N,Human
,,Unknown, , , ,05N,02W,13,Seward,,N,N,Undetermined
PRI,,Debris Bng, , , ,17N,02E,34,Seward,,N,N,Human
BLM,,Recreation, , , ,14N,02E,1,Seward,,N,N,Human
PRI,,Children, , , ,12N,04W,14,Seward,,N,N,Human
PRI,,Debris Bng, , , ,01S,02W,29,Fairbanks,,N,N,Human
,,Unknown, , , ,05N,02W,32,Seward,,N,N,Undetermined
,,Unknown, , , ,06N,01W,30,Seward,,N,N,Undetermined
BLM,,Recreation, , , ,16N,01W,25,Seward,,N,N,Human
STA,,Recreation, , , ,20N,06E,8,Seward,,N,N,Human
PRI,,Miscellany, , , ,05N,08W,7,Seward,,N,N,Human
PRI,,Debris Bng, , , ,18N,01W,24,Seward,,N,N,Human
STA,,Miscellany, , , ,13N,10W,34,Seward,,N,N,Human
BLM,,Miscellany, , , ,03N,32E,32,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,05S,52W,35,Seward,,N,N,Natural
PRI,,Miscellany, , , ,16N,02E,9,Seward,,N,N,Human
PRI,,Miscellany, , , ,05N,08W,7,Seward,,N,N,Human
STA,,Equipment, , , ,01N,12W,6,Seward,,N,N,Human
PRI,,Debris Bng, , , ,17N,04W,11,Seward,,N,N,Human
USFS,,Miscellany, , , ,03N,01W,24,Seward,,N,N,Human
BLM,,Lightning, , , ,08S,62W,10,Seward,,N,N,Natural
STA,,Miscellany, , , ,20N,04W,6,Seward,,N,N,Human
STA,,Recreation, , , ,19N,04W,28,Seward,,N,N,Human
,,Unknown, , , ,06N,03W,8,Seward,,N,N,Undetermined
,,Unknown, , , ,05N,03W,34,Seward,,N,N,Undetermined
BLM,,Smoking, , , ,17N,15E,3,Copper River,,N,N,Human
,,, , , ,05N,04W,33,Seward,,N,N,Undetermined
BLM,,Lightning, , , ,02S,56W,10,Seward,,N,N,Natural
,,, , , ,19N,04W,8,Seward,,N,N,Undetermined
PRI,,Children, , , ,12N,03W,15,Seward,,N,N,Human
,,Unknown, , , ,10N,02W,33,Seward,,N,N,Undetermined
STA,,Recreation, , , ,13S,16E,25,Fairbanks,,N,N,Human
BLM,,Miscellany, , , ,31N,02W,17,Seward,,N,N,Human
BLM,,Lightning, , , ,06S,45W,5,Seward,,N,N,Natural
BLM,,Lightning, , , ,05S,52W,20,Seward,,N,N,Natural
BLM,,Lightning, , , ,05S,53W,27,Seward,,N,N,Natural
PRI,,Miscellany, , , ,12N,03W,20,Seward,,N,N,Human
BLM,,Lightning, , , ,04S,31W,2,Seward,,N,N,Natural
BLM,,Lightning, , , ,29N,41W,23,Seward,,N,N,Natural
BLM,,Lightning, , , ,12N,35W,16,Seward,,N,N,Natural
BLM,,Lightning, , , ,05S,53W,14,Seward,,N,N,Natural
BLM,,Lightning, , , ,32N,63W,23,Seward,,N,N,Natural
BLM,,Recreation, , , ,13S,45W,28,Seward,,N,N,Human
BLM,Lightning,,0-25,East,0-500,029N,048W,35,Seward,,N,N,Natural
BLM,,Lightning, , , ,06S,06E,36,Kateel,,N,N,Natural
BLM,,Lightning, , , ,09N,18E,35,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,12N,18E,35,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,29N,09E,1,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,11S,06E,11,Kateel,,N,N,Natural
BLM,,Lightning, , , ,28N,12W,32,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,16S,08E,34,Kateel,,N,N,Natural
BLM,,Lightning, , , ,12N,12E,17,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,29N,47W,34,Seward,,N,N,Natural
BLM,,Lightning, , , ,29N,47W,34,Seward,,N,N,Natural
BLM,,Lightning, , , ,29N,47W,34,Seward,,N,N,Natural
BLM,,Lightning, , , ,31N,49W,29,Seward,,N,N,Natural
,,Unknown, , , ,01N,01W,34,Seward,,N,N,Undetermined
BLM,Lightning,,0-25,Flat,0501-1500,025S,014W,13,Kateel River,,N,N,Natural
BLM,Lightning,,0-25,Flat,0-500,031N,074W,25,Seward,,N,N,Natural
BLM,Lightning,,0-25,Flat,0501-1500,004N,019E,32,Kateel River,,N,N,Natural
BLM,,Lightning, , , ,11N,15E,13,Kateel,,N,N,Natural
BLM,,Lightning, , , ,10N,15E,27,Kateel,,N,N,Natural
BLM,,Lightning, , , ,11S,21W,28,Kateel,,N,N,Natural
BLM,,Lightning, , , ,15N,24E,22,Kateel,,N,N,Natural
BLM,,Lightning, , , ,15N,25E,3,Kateel,,N,N,Natural
,,Lightning, , , ,31N,50W,9,Seward,,N,N,Natural
,,Lightning, , , ,31N,50W,9,Seward,,N,N,Natural
BLM,,Lightning, , , ,31N,50W,9,Seward,,N,N,Natural
BLM,,Railroad, , , ,10N,01W,9,Seward,,N,N,Human
BLM,,Debris Bng, , , ,22S,28E,17,Kateel,,N,N,Human
,,Unknown, , , ,09N,02E,2,Seward,,N,N,Undetermined
 ,Lightning,,0-25,Flat,0-500,022N,005W,2,Kateel River,,N,N,Natural
BLM,,Lightning, , , ,06N,26W,2,Fairbanks,,N,N,Natural
,,Lightning, , , ,03N,17E,1,Kateel,,N,N,Natural
BLM,,Lightning, , , ,03S,17E,28,Kateel,,N,N,Natural
BLM,,Lightning, , , ,18N,18E,35,Kateel,,N,N,Natural
BLM,,Lightning, , , ,21N,12W,6,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,05N,16E,22,Kateel,,N,N,Natural
BLM,,Lightning, , , ,10N,23E,26,Kateel,,N,N,Natural
BLM,,Lightning, , , ,13N,04E,15,Kateel,,N,N,Natural
BLM,,Lightning, , , ,18N,17E,33,Kateel,,N,N,Natural
BLM,,Lightning, , , ,19S,21E,7,Kateel,,N,N,Natural
BLM,,Lightning, , , ,23S,09E,29,Kateel,,N,N,Natural
BLM,,Children, , , ,12N,03W,10,Seward,,N,N,Human
PRI,,Incendiary, , , ,01S,14W,26,Seward,,N,N,Human
BLM,,Lightning, , , ,30N,37W,27,Seward,,N,N,Natural
BLM,,Lightning, , , ,27S,05E,12,Kateel,,N,N,Natural
BLM,,Lightning, , , ,27S,05E,7,Kateel,,N,N,Natural
BLM,,Lightning, , , ,27S,09E,9,Kateel,,N,N,Natural
BLM,,Lightning, , , ,31N,31W,9,Seward,,N,N,Natural
FWS,,Miscellany, , , ,06N,09W,2,Seward,,N,N,Human
BLM,Lightning,,0-25,Flat,0-500,007S,005E,15,Kateel River,,N,N,Natural
BLM,,Lightning, , , ,18N,22E,18,Kateel,,N,N,Natural
BLM,,Lightning, , , ,04S,07E,18,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,07N,24E,6,Kateel,,N,N,Natural
BLM,,Children, , , ,16N,09W,7,Kateel,,N,N,Human
BLM,,Lightning, , , ,09N,16E,29,Kateel,,N,N,Natural
BLM,,Lightning, , , ,09N,15E,27,Kateel,,N,N,Natural
BLM,,Lightning, , , ,08N,15E,6,Kateel,,N,N,Natural
BLM,,Lightning, , , ,04S,12W,5,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,06N,23E,28,Kateel,,N,N,Natural
BLM,,Lightning, , , ,17N,25W,29,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,10S,01W,1,Kateel,,N,N,Natural
BLM,,Lightning, , , ,09N,22W,19,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,10S,02E,7,Kateel,,N,N,Natural
BLM,,Lightning, , , ,05S,27E,2,Kateel,,N,N,Natural
BLM,,Lightning, , , ,13N,15W,34,Fairbanks,,N,N,Natural
,,Lightning, , , ,10S,05E,30,Kateel,,N,N,Natural
BLM,,Lightning, , , ,09S,05E,33,Kateel,,N,N,Natural
BLM,,Debris Bng, , , ,03S,04E,9,Fairbanks,,N,N,Human
PRI,,Recreation, , , ,04N,11W,34,Seward,,N,N,Human
BLM,,Lightning, , , ,10N,07W,25,Fairbanks,,N,N,Natural
BLM,,Miscellany, , , ,09N,21W,23,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,10N,21E,6,Kateel,,N,N,Natural
BLM,,Lightning, , , ,03N,30W,10,Kateel,,N,N,Natural
PRI,,Children, , , ,18S,07W,6,Fairbanks,,N,N,Human
STA,,Recreation, , , ,11N,02W,32,Seward,,N,N,Human
PRI,,Miscellany, , , ,01N,05E,33,Fairbanks,,N,N,Human
PRI,,Debris Bng, , , ,01N,01E,23,Fairbanks,,N,N,Human
BLM,,Miscellany, , , ,01S,02E,36,Copper River,,N,N,Human
,,Unknown, , , ,05N,03W,36,Seward,,N,N,Undetermined
BLM,,Lightning, , , ,15N,13E,7,Fairbanks,,N,N,Natural
FWS,,Lightning, , , ,12S,46E,3,Umiat,,N,N,Natural
BLM,,Lightning, , , ,21N,06E,18,Fairbanks,,N,N,Natural
PRI,,Debris Bng, , , ,01N,02W,35,Fairbanks,,N,N,Human
STA,,Debris Bng, , , ,12N,02W,19,Seward,,N,N,Human
BLM,,Miscellany, , , ,02S,12W,29,Fairbanks,,N,N,Human
BLM,,Debris Bng, , , ,01S,01W,24,Fairbanks,,N,N,Human
BLM,,Railroad, , , ,01S,01E,20,Fairbanks,,N,N,Human
BLM,,Miscellany, , , ,08N,01W,8,Copper River,,N,N,Human
BLM,,Recreation, , , ,22N,76W,8,Seward,,N,N,Human
USFS,,Miscellany, , , ,06N,01W,19,Seward,,N,N,Human
PRI,,Children, , , ,12N,04W,10,Seward,,N,N,Human
,,Unknown, , , ,05N,03W,31,Seward,,N,N,Undetermined
BLM,,Lightning, , , ,13N,09W,24,Fairbanks,,N,N,Natural
BLM,,Debris Bng, , , ,14N,18E,26,Copper River,,N,N,Human
BLM,,Miscellany, , , ,17N,57W,23,Seward,,N,N,Human
FWS,,Recreation, , , ,06N,09W,3,Seward,,N,N,Human
BLM,,Recreation, , , ,26N,87W,25,Seward,,N,N,Human
PRI,,Miscellany, , , ,01S,02W,4,Fairbanks,,N,N,Human
PRI,,Debris Bng, , , ,02S,02E,24,Fairbanks,,N,N,Human
PRI,,Miscellany, , , ,01S,01E,27,Fairbanks,,N,N,Human
STA,,Recreation, , , ,05S,13W,24,Seward,,N,N,Human
PRI,,Miscellany, , , ,01N,04E,33,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,07N,19W,21,Fairbanks,,N,N,Natural
PRI,,Debris Bng, , , ,12N,02W,4,Copper River,,N,N,Human
,,Unknown, , , ,05N,03W,36,Seward,,N,N,Undetermined
BLM,,Lightning, , , ,09S,12E,18,Kateel,,N,N,Natural
BLM,,Lightning, , , ,25S,06E,5,Kateel,,N,N,Natural
BLM,,Lightning, , , ,01N,31W,29,Seward,,N,N,Natural
BLM,,Lightning, , , ,32N,40W,8,Seward,,N,N,Natural
STA,,Lightning, , , ,09S,12E,2,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,22S,09E,35,Kateel,,N,N,Natural
BLM,,Lightning, , , ,23S,09E,19,Kateel,,N,N,Natural
BLM,,Lightning, , , ,23S,06E,21,Kateel,,N,N,Natural
BLM,,Lightning, , , ,18S,08E,1,Kateel,,N,N,Natural
BLM,,Lightning, , , ,28S,15E,15,Kateel,,N,N,Natural
BLM,,Lightning, , , ,25S,19E,8,Kateel,,N,N,Natural
BLM,,Lightning, , , ,21N,60W,15,Seward,,N,N,Natural
,,Lightning, , , ,27S,19E,9,Kateel,,N,N,Natural
BLM,,Lightning, , , ,09N,13W,30,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,07N,21E,22,Kateel,,N,N,Natural
PRI,,Debris Bng, , , ,05S,04E,23,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,09N,32E,2,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,17N,50W,10,Seward,,N,N,Natural
BLM,,Lightning, , , ,26N,52W,28,Seward,,N,N,Natural
BLM,,Lightning, , , ,33N,42W,22,Seward,,N,N,Natural
BLM,,Lightning, , , ,31N,42W,18,Seward,,N,N,Natural
BLM,,Lightning, , , ,30N,28W,25,Seward,,N,N,Natural
BLM,,Lightning, , , ,11S,15E,1,Kateel,,N,N,Natural
BLM,,Lightning, , , ,14N,15E,36,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,08S,24W,26,Fairbanks,,N,N,Natural
BLM,,Miscellany, , , ,14N,18E,31,Fairbanks,,N,N,Human
BLM,,Lightning, , , ,08S,04W,36,Fairbanks,,N,N,Natural
STA,,Lightning, , , ,06S,05E,33,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,06N,01E,1,Fairbanks,,N,N,Natural
PRI,,Debris Bng, , , ,02S,02E,2,Fairbanks,,N,N,Human
STA,,Lightning, , , ,02S,03E,9,Fairbanks,,N,N,Natural
BLM,,Equipment, , , ,05N,06E,5,Fairbanks,,N,N,Human
BLM,,Miscellany, , , ,11N,08E,22,Copper River,,N,N,Human
STA,,Miscellany, , , ,05S,12W,2,Seward,,N,N,Human
BLM,,Lightning, , , ,28N,16E,1,Fairbanks,,N,N,Natural
FWS,,Miscellany, , , ,01N,75W,20,Seward,,N,N,Human
BLM,,Lightning, , , ,04N,25W,23,Fairbanks,,N,N,Natural
BLM,,Lightning, , , ,09N,16W,7,Fairbanks,,N,N,Natural
